dimension_id,category,item_type,length_ft,width_ft,height_ft,area_sqft,perimeter_ft,wall_area_sqft,spec_details
DIM-0255,Flooring,Granite Flooring,21.87,19.31,3.45,422.31,82.36,284.14,18mm slabs
DIM-0256,Woodwork,Plywood Panel,13.05,16.89,2.99,220.41,59.88,179.04,"8x4 ft, 12mm plywood"
DIM-0257,Electrical,Surface Wiring,26.07,25.06,3.79,653.31,102.26,387.57,4sqmm wire
DIM-0258,False Ceiling,Gypsum Ceiling,8.97,21.23,3.41,190.43,60.4,205.96,15mm board
DIM-0259,Tiling,Floor Tile,13.53,6.45,3.64,87.27,39.96,145.45,"600x600mm, 12mm thick"
DIM-0260,Woodwork,Wardrobe Shutter,6.96,9.97,2.78,69.39,33.86,94.13,"7x4 ft, 25mm plywood"
DIM-0261,False Ceiling,Grid Ceiling,5.65,22.43,3.79,126.73,56.16,212.85,12.5mm board
DIM-0262,Woodwork,Plywood Panel,20.72,29.8,4.22,617.46,101.04,426.39,"8x4 ft, 18mm plywood"
DIM-0263,Painting,Ceiling Painting,9.99,18.73,4.01,187.11,57.44,230.33,Interior Emulsion
DIM-0264,False Ceiling,Gypsum Ceiling,29.0,27.9,3.65,809.1,113.8,415.37,12.5mm board
DIM-0265,Plumbing,UPVC Pipeline,18.49,5.93,2.82,109.65,48.84,137.73,1in pipe
DIM-0266,Painting,Wall Painting,8.37,15.85,3.69,132.66,48.44,178.74,Primer
DIM-0267,Painting,Wall Painting,31.33,5.52,3.78,172.94,73.7,278.59,Primer
DIM-0268,False Ceiling,Grid Ceiling,20.1,14.36,4.24,288.64,68.92,292.22,12.5mm board
DIM-0269,Flooring,Granite Flooring,21.87,23.75,3.14,519.41,91.24,286.49,18mm slabs
DIM-0270,Woodwork,Plywood Panel,13.91,23.68,4.31,329.39,75.18,324.03,"6x3 ft, 25mm plywood"
DIM-0271,Painting,Wall Painting,19.3,8.1,3.89,156.33,54.8,213.17,Primer
DIM-0272,Painting,Ceiling Painting,9.12,3.19,3.77,29.09,24.62,92.82,Exterior Emulsion
DIM-0273,Electrical,Surface Wiring,8.73,14.5,3.63,126.59,46.46,168.65,6sqmm wire
DIM-0274,Painting,Wall Painting,17.8,10.44,3.83,185.83,56.48,216.32,Exterior Emulsion
DIM-0275,Painting,Ceiling Painting,32.43,16.03,3.18,519.85,96.92,308.21,Exterior Emulsion
DIM-0276,Electrical,Concealed Wiring,25.22,23.9,3.24,602.76,98.24,318.3,1.5sqmm wire
DIM-0277,False Ceiling,Gypsum Ceiling,13.04,24.14,4.39,314.79,74.36,326.44,12.5mm board
DIM-0278,Painting,Wall Painting,19.02,12.14,3.56,230.9,62.32,221.86,Interior Emulsion
DIM-0279,Plumbing,CPVC Pipeline,38.76,3.14,2.59,121.71,83.8,217.04,3in pipe
DIM-0280,Painting,Wall Painting,20.24,4.73,2.87,95.74,49.94,143.33,Primer
DIM-0281,Tiling,Wall Tile,30.36,28.13,3.24,854.03,116.98,379.02,"600x600mm, 8mm thick"
DIM-0282,False Ceiling,Grid Ceiling,22.3,3.29,4.19,73.37,51.18,214.44,12.5mm board
DIM-0283,Tiling,Floor Tile,32.44,16.78,3.87,544.34,98.44,380.96,"600x600mm, 10mm thick"
DIM-0284,Woodwork,Wardrobe Shutter,27.93,29.34,2.58,819.47,114.54,295.51,"6x3 ft, 18mm plywood"
DIM-0285,False Ceiling,Gypsum Ceiling,18.83,18.82,3.49,354.38,75.3,262.8,12.5mm board
DIM-0286,Painting,Ceiling Painting,14.96,25.4,4.32,379.98,80.72,348.71,Exterior Emulsion
DIM-0287,Flooring,Marble Flooring,14.68,19.37,2.81,284.35,68.1,191.36,20mm slabs
DIM-0288,Tiling,Floor Tile,14.14,13.99,2.62,197.82,56.26,147.4,"300x600mm, 10mm thick"
DIM-0289,Tiling,Wall Tile,33.1,28.83,4.24,954.27,123.86,525.17,"600x1200mm, 10mm thick"
DIM-0290,Painting,Ceiling Painting,21.93,9.57,3.11,209.87,63.0,195.93,Primer
DIM-0291,Plumbing,UPVC Pipeline,36.38,26.27,3.41,955.7,125.3,427.27,0.5in pipe
DIM-0292,Plumbing,CPVC Pipeline,27.18,29.84,3.82,811.05,114.04,435.63,2in pipe
DIM-0293,Plumbing,UPVC Pipeline,38.44,16.95,2.42,651.56,110.78,268.09,1in pipe
DIM-0294,Electrical,Concealed Wiring,8.26,21.19,4.12,175.03,58.9,242.67,2.5sqmm wire
DIM-0295,Plumbing,CPVC Pipeline,15.99,8.9,3.6,142.31,49.78,179.21,1in pipe
DIM-0296,Plumbing,UPVC Pipeline,30.8,9.34,2.91,287.67,80.28,233.61,1in pipe
DIM-0297,Woodwork,Plywood Panel,12.1,9.74,3.7,117.85,43.68,161.62,"8x4 ft, 12mm plywood"
DIM-0298,Tiling,Floor Tile,28.65,20.91,3.69,599.07,99.12,365.75,"600x1200mm, 10mm thick"
DIM-0299,Painting,Ceiling Painting,16.04,27.25,4.25,437.09,86.58,367.96,Exterior Emulsion
DIM-0300,Woodwork,Plywood Panel,39.45,27.73,2.99,1093.95,134.36,401.74,"7x4 ft, 12mm plywood"
