boq_text,industry,subcategory,quantity,unit,project_type,season,region,tasks,stages
Installing RCC work using ceramic tiles in structural members with curing,Infra,RCC,129,kg,Residential,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using reinforcement steel in structural members including finishing,Infra,RCC,74,nos,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,455,rmt,Residential,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing GI channels piping network with curing,Plumbing,Piping,498,nos,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,126,sqm,Commercial,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using acrylic paint in structural members including finishing,Infra,RCC,176,sqm,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing RCC work using cement concrete in structural members with curing,Infra,RCC,299,rmt,Residential,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,128,kg,Industrial,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing gypsum boards piping network as per standards,Plumbing,Piping,47,kg,Commercial,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using gypsum boards in structural members with surface preparation,Infra,RCC,206,kg,Residential,normal,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,434,kg,Commercial,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying ceramic tiles for false ceiling framework as per specifications,Interior,FalseCeiling,122,rmt,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying two coats of reinforcement steel on wall surface including finishing,Interior,Painting,306,nos,Industrial,normal,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing vitrified tiles piping network with surface preparation,Plumbing,Piping,77,nos,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with gypsum boards conduits as per specifications,Electrical,Wiring,421,sqm,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with GI channels conduits with complete materials,Electrical,Wiring,414,kg,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating laminated boards for false ceiling framework including joint treatment,Interior,FalseCeiling,309,kg,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with wooden panels conduits as per specifications,Electrical,Wiring,478,rmt,Industrial,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing vitrified tiles piping network including finishing,Plumbing,Piping,494,sqm,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing vitrified tiles flooring with adhesive with curing,Interior,Tiling,242,nos,Industrial,festival,central,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using laminated boards in structural members with complete materials,Infra,RCC,436,kg,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing and fixing of reinforcement steel for woodwork including primer coat,Interior,Carpentry,496,rmt,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,107,sqm,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,74,rmt,Residential,festival,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,413,sqm,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,77,sqm,Commercial,normal,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing gypsum boards piping network including finishing,Plumbing,Piping,74,kg,Industrial,normal,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using cement concrete in structural members with complete materials,Infra,RCC,241,rmt,Industrial,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying acrylic paint piping network including primer coat,Plumbing,Piping,443,kg,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using emulsion paint in structural members as per specifications,Infra,RCC,321,rmt,Residential,normal,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,242,kg,Residential,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,221,nos,Commercial,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of GI channels for woodwork including joint treatment,Interior,Carpentry,201,rmt,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing two coats of PVC pipes on wall surface with complete materials,Interior,Painting,391,nos,Residential,festival,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,457,kg,Industrial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,89,kg,Residential,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools with surface preparation,Tank Cleaning,Tank,423,kg,Industrial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,149,nos,Commercial,monsoon,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with emulsion paint conduits as per standards,Electrical,Wiring,389,sqm,Residential,festival,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with reinforcement steel conduits as per specifications,Electrical,Wiring,90,nos,Commercial,festival,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,396,sqm,Industrial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using wooden panels in structural members including primer coat,Infra,RCC,222,nos,Residential,festival,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing gypsum boards piping network including primer coat,Plumbing,Piping,279,nos,Residential,normal,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,494,rmt,Residential,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying reinforcement steel piping network with curing,Plumbing,Piping,99,rmt,Commercial,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,233,sqm,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,158,sqm,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating electrical wiring with emulsion paint conduits with curing,Electrical,Wiring,442,sqm,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using gypsum boards in structural members as per specifications,Infra,RCC,123,nos,Residential,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating GI channels flooring with adhesive as per standards,Interior,Tiling,130,sqm,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with vitrified tiles conduits including primer coat,Electrical,Wiring,247,kg,Industrial,festival,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing reinforcement steel piping network with complete materials,Plumbing,Piping,250,kg,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,168,kg,Commercial,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing laminated boards piping network with complete materials,Plumbing,Piping,324,kg,Commercial,festival,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing GI channels for false ceiling framework including primer coat,Interior,FalseCeiling,266,rmt,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing laminated boards piping network as per standards,Plumbing,Piping,30,rmt,Industrial,monsoon,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including joint treatment,Tank Cleaning,Tank,208,kg,Commercial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing and fixing of GI channels for woodwork with complete materials,Interior,Carpentry,295,kg,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with wooden panels conduits as per standards,Electrical,Wiring,479,nos,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with cement concrete conduits with curing,Electrical,Wiring,339,nos,Residential,festival,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing GI channels for false ceiling framework including finishing,Interior,FalseCeiling,195,nos,Residential,normal,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing RCC work using vitrified tiles in structural members as per standards,Infra,RCC,49,nos,Residential,festival,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,315,kg,Residential,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,196,rmt,Commercial,festival,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using ceramic tiles in structural members including joint treatment,Infra,RCC,424,kg,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying RCC work using PVC pipes in structural members with curing,Infra,RCC,92,rmt,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating cement concrete for false ceiling framework with complete materials,Interior,FalseCeiling,374,sqm,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing vitrified tiles piping network with curing,Plumbing,Piping,56,rmt,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using cement concrete in structural members as per specifications,Infra,RCC,130,kg,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing and fixing of laminated boards for woodwork as per specifications,Interior,Carpentry,415,rmt,Residential,normal,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using reinforcement steel in structural members including finishing,Infra,RCC,473,sqm,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with gypsum boards conduits with surface preparation,Electrical,Wiring,164,sqm,Residential,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,315,sqm,Industrial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with PVC pipes conduits including finishing,Electrical,Wiring,324,nos,Residential,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with GI channels conduits with complete materials,Electrical,Wiring,498,sqm,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using acrylic paint in structural members as per specifications,Infra,RCC,413,sqm,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,289,nos,Industrial,normal,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using emulsion paint in structural members including primer coat,Infra,RCC,28,nos,Residential,normal,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying and fixing of cement concrete for woodwork with curing,Interior,Carpentry,427,kg,Commercial,normal,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying laminated boards piping network as per specifications,Plumbing,Piping,149,sqm,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using vitrified tiles in structural members including primer coat,Infra,RCC,364,kg,Commercial,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing PVC pipes for false ceiling framework as per standards,Interior,FalseCeiling,289,nos,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""channel fixing"", ""board installation"", ""joint taping"", ""screw fixing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying reinforcement steel piping network with curing,Plumbing,Piping,95,kg,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying laminated boards piping network including finishing,Plumbing,Piping,48,kg,Commercial,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing acrylic paint flooring with adhesive as per standards,Interior,Tiling,44,rmt,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using laminated boards in structural members including primer coat,Infra,RCC,495,nos,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,170,nos,Residential,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with PVC pipes conduits with complete materials,Electrical,Wiring,144,nos,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,79,sqm,Commercial,normal,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating and fixing of emulsion paint for woodwork including joint treatment,Interior,Carpentry,466,nos,Residential,festival,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing ceramic tiles piping network as per standards,Plumbing,Piping,131,kg,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,323,sqm,Residential,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing RCC work using wooden panels in structural members with complete materials,Infra,RCC,74,nos,Industrial,normal,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using cement concrete in structural members as per standards,Infra,RCC,403,rmt,Commercial,festival,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying vitrified tiles flooring with adhesive as per standards,Interior,Tiling,175,rmt,Commercial,festival,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing and fixing of laminated boards for woodwork including joint treatment,Interior,Carpentry,74,nos,Industrial,festival,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,441,sqm,Residential,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,326,sqm,Commercial,festival,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing ceramic tiles piping network with curing,Plumbing,Piping,162,kg,Residential,festival,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
