boq_id,category,material,quantity,unit,length_ft,width_ft,area_sqft,region,season,grade,consumption_rules
BOQ-0191,Civil,RCC Concrete,189.31,cft,21.95,40.62,,south,normal,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0192,Civil,Cement Plaster,278.82,cft,5.82,18.9,,south,summer,Premium,{'cement_kg_per_sqft': 0.9}
BOQ-0193,Painting,Acrylic Paint,499.99,sqft,11.97,18.31,219.17,north,normal,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0194,Carpentry,Edge Banding,108.97,sqft,21.95,12.3,269.99,central,monsoon,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0195,Plumbing,CPVC Pipe,234.89,rft,35.44,15.69,,west,summer,Economy,{'pipe_rft_per_rft': 1}
BOQ-0196,Plumbing,CPVC Pipe,290.31,rft,18.93,41.39,,west,monsoon,Premium,{'pipe_rft_per_rft': 1}
BOQ-0197,Civil,Reinforced Steel,493.0,cft,25.78,17.68,,west,winter,Standard,{'steel_kg_per_cft': 5}
BOQ-0198,Painting,Putty,112.28,sqft,16.25,33.85,550.06,east,normal,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0199,Electrical,PVC Conduit,178.28,rft,39.34,17.28,,central,monsoon,Premium,{'conduit_rft_per_rft': 1}
BOQ-0200,Tiling,Vitrified Tiles,417.52,sqft,44.81,46.87,2100.24,west,normal,Premium,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0201,Electrical,Copper Wire,156.1,rft,49.75,21.87,,north,summer,Standard,{'wire_rft_per_rft': 1}
BOQ-0202,Civil,Reinforced Steel,200.88,cft,11.57,6.72,,west,monsoon,Economy,{'steel_kg_per_cft': 5}
BOQ-0203,Plumbing,UPVC Pipe,326.91,rft,45.76,5.86,,south,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0204,Civil,Reinforced Steel,287.5,cft,10.0,17.96,,east,normal,Standard,{'steel_kg_per_cft': 5}
BOQ-0205,Painting,Emulsion Paint,337.53,sqft,33.03,7.83,258.62,west,normal,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0206,Electrical,MCB Unit,158.87,rft,11.46,24.32,,central,summer,Standard,{'units_per_project': 1}
BOQ-0207,Electrical,Copper Wire,134.29,rft,35.07,28.56,,east,normal,Economy,{'wire_rft_per_rft': 1}
BOQ-0208,Electrical,MCB Unit,403.89,rft,27.84,5.92,,west,normal,Economy,{'units_per_project': 1}
BOQ-0209,Plumbing,UPVC Pipe,164.14,rft,5.73,40.48,,east,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0210,Civil,Reinforced Steel,96.65,cft,31.19,39.05,,south,normal,Premium,{'steel_kg_per_cft': 5}
BOQ-0211,Electrical,Copper Wire,416.08,rft,12.88,40.06,,west,winter,Economy,{'wire_rft_per_rft': 1}
BOQ-0212,Painting,Acrylic Paint,78.4,sqft,39.93,25.6,1022.21,east,monsoon,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0213,Painting,Acrylic Paint,192.02,sqft,18.95,22.92,434.33,central,winter,Premium,{'paint_litre_per_sqft': 0.018}
BOQ-0214,Tiling,Granite Tiles,136.0,sqft,21.06,40.14,845.35,east,summer,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0215,Carpentry,Laminate,450.27,sqft,38.45,45.26,1740.25,west,summer,Standard,{'laminate_sheets_per_sqft': 0.028}
BOQ-0216,Plumbing,GI Pipe,273.89,rft,46.59,28.37,,north,winter,Standard,{'pipe_rft_per_rft': 1}
BOQ-0217,Plumbing,GI Pipe,497.79,rft,13.12,18.22,,north,normal,Premium,{'pipe_rft_per_rft': 1}
BOQ-0218,Civil,Cement Plaster,187.92,cft,32.12,24.18,,west,summer,Premium,{'cement_kg_per_sqft': 0.9}
BOQ-0219,Tiling,Granite Tiles,441.52,sqft,20.87,49.92,1041.83,east,normal,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0220,Civil,Reinforced Steel,232.79,cft,28.09,38.75,,south,normal,Standard,{'steel_kg_per_cft': 5}
BOQ-0221,Electrical,MCB Unit,401.59,rft,6.57,8.03,,east,summer,Premium,{'units_per_project': 1}
BOQ-0222,Electrical,PVC Conduit,322.29,rft,35.56,47.7,,east,winter,Standard,{'conduit_rft_per_rft': 1}
BOQ-0223,Electrical,PVC Conduit,288.26,rft,22.91,34.23,,south,normal,Standard,{'conduit_rft_per_rft': 1}
BOQ-0224,Civil,RCC Concrete,274.57,cft,22.41,30.28,,east,summer,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0225,Plumbing,CPVC Pipe,498.36,rft,17.85,46.24,,west,monsoon,Standard,{'pipe_rft_per_rft': 1}
BOQ-0226,Painting,Acrylic Paint,253.42,sqft,45.44,25.03,1137.36,north,summer,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0227,Carpentry,Edge Banding,79.22,sqft,29.4,45.11,1326.23,south,monsoon,Premium,{'edgeband_m_per_sqft': 0.9}
BOQ-0228,Electrical,PVC Conduit,104.61,rft,14.04,11.25,,west,normal,Premium,{'conduit_rft_per_rft': 1}
BOQ-0229,Electrical,MCB Unit,216.01,rft,41.16,29.82,,central,normal,Standard,{'units_per_project': 1}
BOQ-0230,Carpentry,Laminate,499.82,sqft,37.35,28.66,1070.45,west,normal,Standard,{'laminate_sheets_per_sqft': 0.028}
BOQ-0231,Carpentry,Edge Banding,83.37,sqft,25.96,28.28,734.15,south,monsoon,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0232,Plumbing,GI Pipe,459.82,rft,7.49,10.59,,south,summer,Standard,{'pipe_rft_per_rft': 1}
BOQ-0233,Painting,Emulsion Paint,470.63,sqft,15.15,47.64,721.75,central,summer,Standard,{'paint_litre_per_sqft': 0.02}
BOQ-0234,Carpentry,Plywood,335.78,sqft,29.79,10.63,316.67,east,normal,Economy,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0235,Civil,RCC Concrete,316.31,cft,31.13,12.7,,central,summer,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0236,Tiling,Vitrified Tiles,86.55,sqft,47.68,39.7,1892.9,east,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0237,Plumbing,GI Pipe,337.55,rft,27.41,33.22,,east,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0238,Painting,Putty,232.74,sqft,25.41,35.99,914.51,south,winter,Premium,{'putty_kg_per_sqft': 0.12}
BOQ-0239,Plumbing,UPVC Pipe,141.81,rft,32.3,19.07,,east,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0240,Painting,Emulsion Paint,281.74,sqft,9.78,15.88,155.31,north,summer,Premium,{'paint_litre_per_sqft': 0.02}
BOQ-0241,Painting,Acrylic Paint,93.57,sqft,18.06,22.29,402.56,central,winter,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0242,Painting,Emulsion Paint,470.19,sqft,37.45,13.54,507.07,south,winter,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0243,Plumbing,UPVC Pipe,445.58,rft,27.38,9.05,,west,winter,Standard,{'pipe_rft_per_rft': 1}
BOQ-0244,Painting,Putty,208.8,sqft,7.27,27.27,198.25,west,summer,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0245,Tiling,Vitrified Tiles,243.92,sqft,44.71,37.74,1687.36,west,summer,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0246,Plumbing,CPVC Pipe,306.63,rft,13.76,29.9,,north,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0247,Plumbing,GI Pipe,175.87,rft,49.51,35.62,,north,monsoon,Standard,{'pipe_rft_per_rft': 1}
BOQ-0248,Plumbing,UPVC Pipe,407.7,rft,20.26,47.25,,south,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0249,Electrical,Copper Wire,275.04,rft,7.04,11.17,,east,winter,Economy,{'wire_rft_per_rft': 1}
BOQ-0250,Plumbing,CPVC Pipe,322.82,rft,28.2,19.76,,central,summer,Standard,{'pipe_rft_per_rft': 1}
BOQ-0251,Plumbing,GI Pipe,382.69,rft,18.47,20.14,,central,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0252,Electrical,Copper Wire,263.7,rft,5.75,19.91,,north,winter,Economy,{'wire_rft_per_rft': 1}
BOQ-0253,Carpentry,Edge Banding,442.44,sqft,33.32,31.86,1061.58,east,monsoon,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0254,Tiling,Granite Tiles,266.2,sqft,28.59,37.45,1070.7,west,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0255,Painting,Acrylic Paint,307.66,sqft,36.52,13.59,496.31,west,summer,Premium,{'paint_litre_per_sqft': 0.018}
BOQ-0256,Painting,Emulsion Paint,360.73,sqft,23.47,39.87,935.75,west,normal,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0257,Painting,Putty,143.3,sqft,19.63,34.8,683.12,central,winter,Premium,{'putty_kg_per_sqft': 0.12}
BOQ-0258,Painting,Emulsion Paint,460.46,sqft,20.4,20.94,427.18,east,winter,Standard,{'paint_litre_per_sqft': 0.02}
BOQ-0259,Painting,Emulsion Paint,301.14,sqft,15.12,48.78,737.55,east,summer,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0260,Painting,Putty,367.24,sqft,19.27,20.7,398.89,east,summer,Standard,{'putty_kg_per_sqft': 0.12}
BOQ-0261,Electrical,MCB Unit,294.44,rft,45.31,22.75,,east,monsoon,Premium,{'units_per_project': 1}
BOQ-0262,Tiling,Ceramic Tiles,479.89,sqft,8.56,46.58,398.72,east,winter,Standard,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0263,Painting,Putty,172.01,sqft,30.29,17.22,521.59,north,monsoon,Standard,{'putty_kg_per_sqft': 0.12}
BOQ-0264,Tiling,Granite Tiles,457.33,sqft,15.16,15.48,234.68,north,winter,Premium,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0265,Civil,Cement Plaster,95.25,cft,39.68,5.23,,central,monsoon,Premium,{'cement_kg_per_sqft': 0.9}
BOQ-0266,Civil,Cement Plaster,264.85,cft,13.98,48.38,,east,summer,Economy,{'cement_kg_per_sqft': 0.9}
BOQ-0267,Tiling,Vitrified Tiles,343.53,sqft,15.45,38.24,590.81,north,monsoon,Premium,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0268,Painting,Acrylic Paint,498.73,sqft,22.86,27.29,623.85,east,normal,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0269,Carpentry,Edge Banding,321.25,sqft,46.78,20.08,939.34,west,winter,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0270,Electrical,Copper Wire,172.78,rft,41.4,19.88,,west,summer,Economy,{'wire_rft_per_rft': 1}
BOQ-0271,Painting,Acrylic Paint,381.48,sqft,40.58,30.55,1239.72,south,monsoon,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0272,Civil,Cement Plaster,422.15,cft,28.19,8.9,,north,monsoon,Standard,{'cement_kg_per_sqft': 0.9}
BOQ-0273,Plumbing,UPVC Pipe,471.12,rft,5.31,22.26,,west,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0274,Carpentry,Edge Banding,375.3,sqft,5.51,34.42,189.65,south,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0275,Tiling,Ceramic Tiles,188.06,sqft,23.24,27.61,641.66,east,normal,Economy,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0276,Carpentry,Laminate,326.58,sqft,14.86,11.01,163.61,south,winter,Economy,{'laminate_sheets_per_sqft': 0.028}
BOQ-0277,Electrical,Copper Wire,237.13,rft,29.72,26.19,,central,monsoon,Standard,{'wire_rft_per_rft': 1}
BOQ-0278,Civil,Reinforced Steel,442.91,cft,8.68,25.1,,east,normal,Economy,{'steel_kg_per_cft': 5}
BOQ-0279,Tiling,Vitrified Tiles,422.95,sqft,45.63,14.1,643.38,central,monsoon,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0280,Carpentry,Edge Banding,248.83,sqft,35.61,37.26,1326.83,west,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0281,Plumbing,CPVC Pipe,254.04,rft,28.1,25.56,,north,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0282,Carpentry,Edge Banding,59.8,sqft,16.45,5.14,84.55,south,normal,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0283,Plumbing,UPVC Pipe,365.17,rft,29.35,7.71,,north,winter,Standard,{'pipe_rft_per_rft': 1}
BOQ-0284,Carpentry,Laminate,130.99,sqft,11.09,33.87,375.62,west,summer,Premium,{'laminate_sheets_per_sqft': 0.028}
BOQ-0285,Plumbing,UPVC Pipe,219.04,rft,35.72,34.78,,central,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0286,Carpentry,Plywood,130.31,sqft,29.18,28.8,840.38,south,normal,Standard,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0287,Carpentry,Laminate,353.07,sqft,29.5,28.94,853.73,south,monsoon,Premium,{'laminate_sheets_per_sqft': 0.028}
BOQ-0288,Carpentry,Plywood,174.04,sqft,47.18,37.63,1775.38,north,normal,Economy,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0289,Plumbing,GI Pipe,394.72,rft,44.77,5.7,,south,normal,Standard,{'pipe_rft_per_rft': 1}
BOQ-0290,Electrical,PVC Conduit,250.9,rft,35.24,44.25,,south,normal,Premium,{'conduit_rft_per_rft': 1}
BOQ-0291,Plumbing,CPVC Pipe,292.89,rft,38.95,39.92,,south,summer,Standard,{'pipe_rft_per_rft': 1}
BOQ-0292,Civil,Reinforced Steel,193.51,cft,31.91,35.26,,east,monsoon,Premium,{'steel_kg_per_cft': 5}
BOQ-0293,Painting,Putty,284.56,sqft,23.61,17.38,410.34,central,monsoon,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0294,Civil,Cement Plaster,300.13,cft,7.11,20.5,,west,summer,Economy,{'cement_kg_per_sqft': 0.9}
BOQ-0295,Plumbing,UPVC Pipe,117.15,rft,21.94,38.95,,west,monsoon,Standard,{'pipe_rft_per_rft': 1}
BOQ-0296,Carpentry,Edge Banding,114.96,sqft,25.84,7.59,196.13,west,winter,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0297,Electrical,PVC Conduit,224.79,rft,16.47,19.86,,north,winter,Premium,{'conduit_rft_per_rft': 1}
BOQ-0298,Tiling,Granite Tiles,376.06,sqft,13.57,17.08,231.78,central,normal,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0299,Painting,Putty,375.94,sqft,30.15,26.57,801.09,east,summer,Standard,{'putty_kg_per_sqft': 0.12}
BOQ-0300,Painting,Acrylic Paint,482.93,sqft,10.28,49.98,513.79,west,monsoon,Economy,{'paint_litre_per_sqft': 0.018}
